Years,Provinces,Total sown area of crops (thousand hectares)  ,Sown area of grain crops (thousand hectares)  ,Sown area of rice (thousand hectares)  ,Sown area of wheat (thousand hectares)  ,Sown area of corn (thousand hectares)  ,soybeans (thousand hectares)  
1999,Zhejiang,3899.500 ,2751.910 ,1940.430 ,257.920 ,46.800 ,190.420 
2000,Zhejiang,3554.330 ,2300.260 ,1597.970 ,177.570 ,52.200 ,215.670 
2001,Zhejiang,3245.930 ,1939.100 ,1340.000 ,121.400 ,51.760 ,204.730 
2002,Zhejiang,3064.500 ,1659.100 ,1172.300 ,94.200 ,52.200 ,192.800 
2003,Zhejiang,2834.390 ,1427.770 ,979.430 ,71.480 ,51.930 ,193.320 
2004,Zhejiang,2778.410 ,1454.530 ,1028.050 ,59.530 ,54.500 ,184.900 
2005,Zhejiang,2837.940 ,1510.790 ,1028.540 ,67.130 ,62.870 ,209.140 
2006,Zhejiang,2848.390 ,1525.060 ,1030.400 ,70.880 ,65.600 ,211.370 
2007,Zhejiang,2462.817 ,1219.570 ,954.290 ,49.260 ,23.620 ,121.440 
2008,Zhejiang,2482.430 ,1271.630 ,937.500 ,54.340 ,25.920 ,129.850 
2009,Zhejiang,2504.790 ,1290.090 ,938.740 ,60.370 ,27.030 ,129.550 
2010,Zhejiang,2484.650 ,1275.830 ,923.160 ,66.170 ,27.270 ,125.960 
2011,Zhejiang,2462.708 ,1254.130 ,894.770 ,72.630 ,30.940 ,124.400 
2012,Zhejiang,2324.163 ,1251.550 ,832.590 ,74.490 ,61.970 ,138.450 
2013,Zhejiang,2311.939 ,1253.740 ,828.720 ,75.520 ,63.400 ,137.000 
2014,Zhejiang,2274.003 ,1266.810 ,824.210 ,82.120 ,66.520 ,141.080 
2015,Zhejiang,2290.547 ,1277.848 ,822.466 ,89.800 ,69.513 ,144.650 
2016,Zhejiang,2274.444 ,1255.400 ,818.340 ,76.590 ,69.490 ,140.890 
2017,Zhejiang,1981.113 ,977.193 ,620.682 ,103.671 ,51.884 ,108.255 
2018,Zhejiang,1978.685 ,975.726 ,651.070 ,85.360 ,49.344 ,113.140 
2019,Zhejiang,1999.620 ,977.438 ,627.516 ,82.660 ,76.416 ,118.731 
2020,Zhejiang,2014.501 ,993.401 ,636.025 ,93.359 ,63.282 ,115.806 
2021,Zhejiang,2014.592 ,1006.711 ,633.362 ,114.814 ,57.966 ,108.039 
2022,Zhejiang,2027.156 ,1020.448 ,629.187 ,130.641 ,55.405 ,110.477 
1997,Anhui,8488.900 ,6030.600 ,2212.100 ,2137.600 ,512.200 ,608.800 
1998,Anhui,8564.200 ,5991.000 ,2158.300 ,2095.000 ,570.300 ,584.900 
1999,Anhui,8582.100 ,5934.850 ,2145.500 ,2057.080 ,588.460 ,558.490 
2000,Anhui,9005.810 ,6183.800 ,2236.667 ,2126.400 ,485.867 ,773.707 
2001,Anhui,8733.100 ,5841.730 ,1950.070 ,1961.200 ,589.330 ,796.600 
2002,Anhui,8997.600 ,6091.900 ,2044.100 ,2056.900 ,651.400 ,806.400 
2003,Anhui,9124.690 ,6157.200 ,1972.400 ,2012.000 ,627.400 ,1011.520 
2004,Anhui,9200.353 ,6312.200 ,2129.700 ,2059.900 ,662.300 ,977.000 
2005,Anhui,9172.453 ,6410.900 ,2149.100 ,2108.300 ,670.200 ,1008.600 
2006,Anhui,9145.123 ,6493.490 ,2165.450 ,2116.700 ,693.460 ,1055.300 
2007,Anhui,8853.900 ,6477.810 ,2205.220 ,2330.270 ,710.370 ,1017.300 
2008,Anhui,8976.550 ,6561.100 ,2218.900 ,2346.700 ,705.100 ,1068.500 
2009,Anhui,9036.182 ,6605.568 ,2246.850 ,2355.267 ,730.750 ,1050.343 
2010,Anhui,9053.373 ,6616.418 ,2245.370 ,2365.667 ,761.109 ,1021.228 
2011,Anhui,9022.939 ,6621.537 ,2230.820 ,2382.997 ,818.820 ,969.010 
2012,Anhui,8969.598 ,6622.000 ,2215.050 ,2415.510 ,822.530 ,960.270 
2013,Anhui,8945.642 ,6625.300 ,2214.100 ,2432.850 ,845.100 ,937.600 
2014,Anhui,8945.534 ,6628.930 ,2217.330 ,2434.500 ,852.400 ,934.800 
2015,Anhui,8950.464 ,6632.900 ,2234.920 ,2457.000 ,881.550 ,893.600 
2016,Anhui,8893.614 ,6644.500 ,2265.500 ,2446.900 ,876.200 ,905.400 
2017,Anhui,8726.683 ,7321.792 ,2605.147 ,2822.790 ,1160.073 ,658.702 
2018,Anhui,8771.112 ,7316.330 ,2544.760 ,2875.860 ,1138.560 ,687.630 
2019,Anhui,8781.957 ,7287.000 ,2509.040 ,2835.600 ,1196.450 ,672.950 
2020,Anhui,8817.991 ,7289.524 ,2512.082 ,2825.200 ,1234.756 ,641.979 
2021,Anhui,8886.773 ,7309.612 ,2512.154 ,2846.003 ,1252.741 ,627.109 
2022,Anhui,8933.594 ,7314.247 ,2496.476 ,2849.371 ,1228.939 ,654.174 
1997,Fujian,2943.700 ,2041.300 ,1401.600 ,60.300 ,32.700 ,140.200 
1998,Fujian,2918.800 ,2028.600 ,1387.900 ,55.000 ,35.500 ,140.700 
1999,Fujian,2915.400 ,2009.500 ,1373.200 ,50.200 ,36.700 ,142.200 
2000,Fujian,2793.250 ,1828.500 ,1222.300 ,38.700 ,36.800 ,138.700 
2001,Fujian,2713.070 ,1725.700 ,1156.500 ,30.400 ,35.400 ,130.600 
2002,Fujian,2661.300 ,1630.200 ,1082.900 ,23.500 ,36.200 ,126.400 
2003,Fujian,2518.920 ,1471.080 ,962.550 ,8.770 ,36.860 ,120.520 
2004,Fujian,2519.320 ,1482.350 ,985.060 ,6.180 ,37.750 ,115.130 
2005,Fujian,2481.274 ,1441.290 ,951.550 ,5.880 ,39.120 ,113.150 
2006,Fujian,2434.510 ,1395.840 ,908.120 ,5.600 ,39.070 ,112.230 
2007,Fujian,2191.180 ,1201.046 ,868.693 ,4.480 ,34.662 ,67.953 
2008,Fujian,2220.680 ,1210.271 ,861.218 ,4.399 ,36.981 ,73.402 
2009,Fujian,2258.008 ,1231.012 ,864.600 ,3.809 ,37.883 ,75.361 
2010,Fujian,2270.753 ,1232.300 ,854.824 ,3.589 ,40.097 ,77.844 
2011,Fujian,2285.804 ,1226.788 ,845.338 ,2.765 ,42.585 ,80.573 
2012,Fujian,2263.120 ,1201.133 ,827.600 ,2.505 ,45.351 ,81.914 
2013,Fujian,2292.214 ,1202.051 ,817.516 ,2.307 ,47.941 ,84.202 
2014,Fujian,2305.241 ,1197.746 ,804.499 ,2.313 ,49.549 ,85.236 
2015,Fujian,2331.320 ,1193.220 ,788.961 ,2.090 ,51.469 ,87.611 
2016,Fujian,2327.314 ,1176.734 ,769.391 ,1.948 ,52.036 ,88.655 
2017,Fujian,1549.342 ,833.219 ,628.587 ,0.200 ,26.810 ,36.030 
2018,Fujian,1577.310 ,833.514 ,619.609 ,0.190 ,28.787 ,37.920 
2019,Fujian,1599.290 ,822.431 ,599.235 ,0.108 ,30.487 ,39.932 
2020,Fujian,1631.269 ,834.433 ,601.717 ,0.081 ,33.054 ,42.402 
2021,Fujian,1651.872 ,835.131 ,599.354 ,0.071 ,33.994 ,42.596 
2022,Fujian,1682.140 ,837.615 ,599.449 ,0.059 ,34.734 ,43.114 
1997,Jiangxi,6037.600 ,3586.500 ,3063.500 ,73.500 ,31.000 ,235.700 
1998,Jiangxi,5804.000 ,3414.500 ,2900.800 ,65.800 ,32.700 ,237.700 
1999,Jiangxi,5871.000 ,3548.200 ,3050.010 ,61.500 ,27.300 ,240.430 
2000,Jiangxi,5650.780 ,3322.000 ,2832.000 ,51.400 ,25.300 ,239.100 
2001,Jiangxi,5534.720 ,3265.200 ,2808.300 ,38.300 ,19.900 ,226.100 
2002,Jiangxi,5355.100 ,3187.900 ,2786.600 ,28.500 ,16.800 ,203.300 
2003,Jiangxi,4997.350 ,3051.120 ,2685.270 ,20.610 ,17.500 ,184.430 
2004,Jiangxi,5182.780 ,3350.070 ,3029.740 ,19.060 ,14.360 ,158.810 
2005,Jiangxi,5251.420 ,3441.470 ,3129.000 ,15.910 ,16.510 ,154.230 
2006,Jiangxi,5363.348 ,3534.930 ,3227.140 ,12.390 ,15.890 ,160.410 
2007,Jiangxi,5245.127 ,3525.267 ,3194.333 ,11.200 ,15.540 ,165.793 
2008,Jiangxi,5330.860 ,3578.070 ,3255.540 ,10.200 ,15.640 ,160.260 
2009,Jiangxi,5376.380 ,3604.600 ,3282.060 ,9.940 ,16.090 ,153.960 
2010,Jiangxi,5457.700 ,3639.130 ,3318.440 ,10.390 ,18.180 ,154.030 
2011,Jiangxi,5486.789 ,3650.070 ,3317.710 ,10.890 ,25.650 ,154.240 
2012,Jiangxi,5524.913 ,3675.930 ,3328.330 ,11.850 ,28.050 ,157.050 
2013,Jiangxi,5552.565 ,3690.850 ,3337.950 ,11.780 ,29.530 ,160.300 
2014,Jiangxi,5570.550 ,3697.337 ,3339.453 ,12.000 ,29.870 ,162.200 
2015,Jiangxi,5579.093 ,3705.600 ,3342.400 ,12.200 ,30.280 ,165.400 
2016,Jiangxi,5560.666 ,3686.210 ,3316.310 ,12.300 ,30.300 ,167.600 
2017,Jiangxi,5638.456 ,3786.323 ,3504.693 ,14.505 ,35.655 ,123.333 
2018,Jiangxi,5555.811 ,3721.330 ,3436.200 ,14.620 ,35.000 ,127.640 
2019,Jiangxi,5521.184 ,3665.137 ,3346.203 ,14.400 ,46.500 ,130.433 
2020,Jiangxi,5644.370 ,3772.380 ,3441.830 ,14.400 ,47.600 ,142.650 
2021,Jiangxi,5672.944 ,3772.840 ,3419.200 ,13.600 ,50.900 ,141.400 
2022,Jiangxi,5730.547 ,3776.360 ,3403.000 ,12.000 ,55.600 ,147.340 
1997,Shandong,10983.200 ,8083.100 ,164.700 ,4037.600 ,2626.800 ,558.500 
1998,Shandong,11138.000 ,8132.500 ,157.600 ,3982.000 ,2781.900 ,553.400 
1999,Shandong,11236.500 ,8099.250 ,195.820 ,4006.750 ,2768.170 ,513.160 
2000,Shandong,11147.340 ,7363.190 ,176.750 ,3748.180 ,2413.920 ,480.450 
2001,Shandong,11266.120 ,7153.510 ,173.550 ,3545.750 ,2505.230 ,414.720 
2002,Shandong,11047.800 ,6912.600 ,155.300 ,3397.500 ,2530.100 ,344.200 
2003,Shandong,10885.280 ,6415.410 ,112.620 ,3105.130 ,2405.890 ,323.860 
2004,Shandong,10638.567 ,6176.320 ,124.430 ,2968.230 ,2455.050 ,256.560 
2005,Shandong,10736.060 ,6711.730 ,119.800 ,3278.670 ,2731.440 ,251.710 
2006,Shandong,10727.933 ,6797.450 ,125.680 ,3354.520 ,2753.590 ,236.130 
2007,Shandong,10724.400 ,6936.500 ,130.500 ,3519.100 ,2854.230 ,176.420 
2008,Shandong,10763.980 ,6955.610 ,130.690 ,3525.210 ,2874.210 ,175.000 
2009,Shandong,10778.430 ,7030.090 ,134.610 ,3545.200 ,2917.330 ,171.010 
2010,Shandong,10818.204 ,7084.800 ,128.220 ,3561.870 ,2955.270 ,166.850 
2011,Shandong,10865.440 ,7145.820 ,124.540 ,3593.530 ,2995.870 ,166.180 
2012,Shandong,10866.977 ,7202.330 ,123.870 ,3625.870 ,3018.060 ,163.600 
2013,Shandong,10976.440 ,7294.580 ,123.130 ,3673.270 ,3060.710 ,164.460 
2014,Shandong,11037.929 ,7440.040 ,122.400 ,3740.230 ,3126.470 ,168.690 
2015,Shandong,11026.541 ,7492.100 ,116.280 ,3799.833 ,3173.797 ,152.420 
2016,Shandong,10973.181 ,7511.450 ,105.760 ,3830.270 ,3206.930 ,143.750 
2017,Shandong,11107.793 ,8455.601 ,108.859 ,4083.871 ,4000.123 ,124.979 
2018,Shandong,11076.802 ,8404.843 ,113.830 ,4058.592 ,3934.683 ,158.023 
2019,Shandong,10933.094 ,8312.811 ,115.600 ,4001.753 ,3846.467 ,187.835 
2020,Shandong,10889.065 ,8281.540 ,112.479 ,3934.430 ,3871.090 ,193.036 
2021,Shandong,10948.594 ,8355.135 ,113.041 ,3994.033 ,3897.005 ,187.538 
2022,Shandong,10964.144 ,8372.213 ,106.433 ,4003.553 ,3880.258 ,218.787 
1997,Henan,12276.700 ,8879.900 ,489.500 ,4927.300 ,1952.400 ,719.700 
1998,Henan,12567.100 ,9102.000 ,498.400 ,4964.000 ,2152.700 ,727.200 
1999,Henan,12659.900 ,9032.270 ,508.470 ,4884.590 ,2193.740 ,674.330 
2000,Henan,13136.910 ,9029.600 ,459.590 ,4922.330 ,2201.330 ,683.430 
2001,Henan,13127.700 ,8822.790 ,415.930 ,4801.570 ,2200.000 ,660.360 
2002,Henan,13359.800 ,8975.100 ,469.400 ,4855.700 ,2319.900 ,626.600 
2003,Henan,13684.360 ,8923.330 ,503.000 ,4804.570 ,2386.700 ,612.510 
2004,Henan,13789.660 ,8970.070 ,508.530 ,4856.000 ,2420.000 ,625.870 
2005,Henan,13922.730 ,9153.410 ,511.070 ,4962.670 ,2508.310 ,616.530 
2006,Henan,14185.643 ,9303.080 ,602.560 ,5006.670 ,2579.000 ,584.000 
2007,Henan,14087.843 ,9468.030 ,600.000 ,5213.330 ,2779.220 ,525.500 
2008,Henan,14147.400 ,9600.000 ,604.670 ,5260.000 ,2820.000 ,551.000 
2009,Henan,14181.400 ,9683.610 ,611.300 ,5263.300 ,2895.420 ,529.290 
2010,Henan,14248.690 ,9740.170 ,628.000 ,5280.000 ,2946.000 ,513.400 
2011,Henan,14258.610 ,9859.870 ,638.000 ,5323.330 ,3025.000 ,505.870 
2012,Henan,14262.170 ,9985.150 ,648.160 ,5340.000 ,3100.000 ,520.450 
2013,Henan,14323.540 ,10081.810 ,641.330 ,5366.660 ,3203.330 ,503.780 
2014,Henan,14378.300 ,10209.820 ,649.670 ,5406.670 ,3283.860 ,453.670 
2015,Henan,14424.960 ,10267.150 ,656.000 ,5425.660 ,3343.860 ,413.670 
2016,Henan,14472.320 ,10286.150 ,655.000 ,5465.660 ,3316.860 ,415.670 
2017,Henan,14732.534 ,10915.135 ,615.029 ,5714.645 ,3998.941 ,389.853 
2018,Henan,14783.352 ,10906.080 ,620.410 ,5739.850 ,3918.960 ,424.000 
2019,Henan,14713.978 ,10734.540 ,616.600 ,5706.650 ,3801.330 ,428.000 
2020,Henan,14687.991 ,10738.790 ,617.070 ,5673.670 ,3818.010 ,406.130 
2021,Henan,14705.131 ,10772.310 ,608.230 ,5690.690 ,3853.330 ,364.340 
2022,Henan,14711.513 ,10778.350 ,601.700 ,5682.450 ,3857.520 ,390.970 
1997,Hubei,7739.200 ,4940.500 ,2466.000 ,1276.500 ,399.800 ,313.700 
1998,Hubei,7696.000 ,4728.100 ,2239.300 ,1211.200 ,440.900 ,339.300 
1999,Hubei,7788.700 ,4673.110 ,2284.980 ,1074.430 ,460.820 ,337.980 
2000,Hubei,7584.070 ,4156.200 ,1995.290 ,845.100 ,424.100 ,358.750 
2001,Hubei,7488.990 ,4015.730 ,1987.850 ,735.850 ,400.900 ,362.290 
2002,Hubei,7355.000 ,3882.800 ,1932.000 ,700.100 ,390.800 ,353.000 
2003,Hubei,7138.260 ,3557.760 ,1805.100 ,603.190 ,341.110 ,324.860 
2004,Hubei,7155.880 ,3712.370 ,1989.610 ,602.910 ,357.490 ,304.140 
2005,Hubei,7279.420 ,3926.810 ,2077.390 ,716.190 ,389.610 ,290.010 
2006,Hubei,7350.310 ,4067.140 ,2094.500 ,794.930 ,441.270 ,276.950 
2007,Hubei,7030.010 ,3981.430 ,1978.820 ,1096.250 ,436.340 ,202.620 
2008,Hubei,7298.310 ,3906.690 ,1978.940 ,1000.570 ,470.370 ,206.790 
2009,Hubei,7527.500 ,4012.530 ,2045.080 ,993.360 ,507.280 ,195.760 
2010,Hubei,7997.570 ,4068.370 ,2038.170 ,1000.110 ,531.380 ,192.080 
2011,Hubei,8009.570 ,4122.070 ,2036.160 ,1013.610 ,549.660 ,190.730 
2012,Hubei,8078.887 ,4180.050 ,2017.880 ,1065.500 ,593.340 ,177.660 
2013,Hubei,8106.193 ,4258.400 ,2101.150 ,1094.800 ,573.470 ,160.280 
2014,Hubei,8112.260 ,4370.350 ,2143.950 ,1074.330 ,642.380 ,173.620 
2015,Hubei,7952.363 ,4466.033 ,2188.460 ,1093.430 ,687.846 ,147.777 
2016,Hubei,7843.510 ,4436.870 ,2130.970 ,1108.270 ,661.700 ,184.260 
2017,Hubei,7956.139 ,4852.996 ,2368.075 ,1153.217 ,794.779 ,238.472 
2018,Hubei,7952.900 ,4847.010 ,2391.000 ,1104.960 ,781.200 ,247.090 
2019,Hubei,7815.887 ,4608.602 ,2286.756 ,1017.743 ,727.533 ,240.096 
2020,Hubei,7974.393 ,4645.273 ,2280.727 ,1031.381 ,751.991 ,247.723 
2021,Hubei,8109.240 ,4685.983 ,2272.586 ,1052.055 ,762.706 ,254.052 
2022,Hubei,8191.919 ,4688.955 ,2263.957 ,1031.255 ,775.824 ,262.166 
1997,Hunan,8009.000 ,5155.300 ,4075.800 ,163.100 ,171.800 ,291.900 
1998,Hunan,7936.300 ,5074.800 ,3976.400 ,144.600 ,221.800 ,284.800 
1999,Hunan,8027.700 ,5135.180 ,3984.470 ,129.730 ,280.130 ,293.150 
2000,Hunan,8002.050 ,5029.900 ,3896.100 ,118.600 ,278.500 ,294.600 
2001,Hunan,7931.710 ,4802.810 ,3691.610 ,110.020 ,269.790 ,294.160 
2002,Hunan,7789.900 ,4652.600 ,3541.500 ,99.800 ,272.900 ,290.600 
2003,Hunan,7731.240 ,4529.790 ,3409.980 ,86.330 ,289.770 ,293.460 
2004,Hunan,7886.220 ,4754.100 ,3716.840 ,76.150 ,276.450 ,279.700 
2005,Hunan,7977.643 ,4838.600 ,3795.200 ,65.700 ,277.300 ,276.800 
2006,Hunan,8074.020 ,4807.300 ,3777.200 ,62.000 ,268.500 ,275.600 
2007,Hunan,7390.708 ,4531.300 ,3897.200 ,13.600 ,220.200 ,154.200 
2008,Hunan,7555.037 ,4588.800 ,3932.000 ,13.600 ,241.300 ,155.600 
2009,Hunan,8019.330 ,4799.100 ,4047.200 ,28.400 ,282.000 ,167.000 
2010,Hunan,8216.140 ,4809.100 ,4030.500 ,39.200 ,293.000 ,171.300 
2011,Hunan,8401.973 ,4879.580 ,4066.300 ,40.400 ,327.100 ,171.280 
2012,Hunan,8511.874 ,4908.040 ,4095.120 ,35.250 ,342.000 ,168.390 
2013,Hunan,8650.018 ,4936.570 ,4085.030 ,32.270 ,344.220 ,166.010 
2014,Hunan,8764.470 ,4975.140 ,4120.710 ,30.600 ,345.650 ,170.210 
2015,Hunan,8716.990 ,4944.650 ,4114.100 ,29.390 ,348.360 ,160.900 
2016,Hunan,8793.280 ,4890.600 ,4085.500 ,19.200 ,349.500 ,168.800 
2017,Hunan,8321.975 ,4978.946 ,4238.710 ,28.340 ,365.807 ,141.009 
2018,Hunan,8111.086 ,4747.900 ,4009.000 ,23.350 ,359.200 ,148.190 
2019,Hunan,8122.795 ,4616.380 ,3855.200 ,22.370 ,386.600 ,149.190 
2020,Hunan,8400.127 ,4754.750 ,3993.850 ,23.250 ,384.380 ,150.780 
2021,Hunan,8504.265 ,4758.370 ,3971.100 ,23.360 ,397.600 ,155.950 
2022,Hunan,8591.544 ,4765.520 ,3967.670 ,22.380 ,393.580 ,170.620 
1997,Guangdong,5511.500 ,3528.800 ,2704.100 ,19.400 ,133.600 ,125.700 
1998,Guangdong,5540.200 ,3529.000 ,2686.000 ,17.800 ,156.100 ,128.300 
1999,Guangdong,5262.800 ,3371.040 ,2557.530 ,15.222 ,177.700 ,128.120 
2000,Guangdong,5156.900 ,3311.100 ,2467.400 ,13.700 ,189.300 ,128.400 
2001,Guangdong,5193.070 ,3125.600 ,2369.330 ,11.240 ,164.550 ,119.180 
2002,Guangdong,4932.400 ,2876.500 ,2195.500 ,10.700 ,141.900 ,109.900 
2003,Guangdong,4883.390 ,2771.900 ,2130.600 ,5.800 ,135.700 ,106.300 
2004,Guangdong,4807.970 ,2789.700 ,2139.000 ,6.000 ,137.900 ,107.900 
2005,Guangdong,4815.371 ,2786.500 ,2137.600 ,6.500 ,136.700 ,108.300 
2006,Guangdong,4838.359 ,2767.100 ,2110.900 ,5.900 ,139.000 ,108.100 
2007,Guangdong,4363.053 ,2479.533 ,1939.000 ,1.000 ,132.800 ,79.733 
2008,Guangdong,4404.309 ,2499.940 ,1946.900 ,0.830 ,143.420 ,80.630 
2009,Guangdong,4476.043 ,2538.500 ,1959.700 ,0.840 ,166.700 ,79.480 
2010,Guangdong,4524.515 ,2531.933 ,1952.747 ,0.871 ,162.263 ,78.968 
2011,Guangdong,4572.034 ,2530.430 ,1940.920 ,1.000 ,173.130 ,77.230 
2012,Guangdong,4629.601 ,2540.180 ,1949.380 ,0.930 ,172.500 ,80.210 
2013,Guangdong,4698.083 ,2507.620 ,1908.790 ,0.930 ,176.650 ,80.290 
2014,Guangdong,4744.950 ,2507.010 ,1893.280 ,0.930 ,177.180 ,79.700 
2015,Guangdong,4784.718 ,2505.840 ,1887.300 ,0.910 ,178.960 ,80.720 
2016,Guangdong,4830.831 ,2509.330 ,1888.600 ,0.910 ,180.930 ,80.980 
2017,Guangdong,4227.509 ,2169.726 ,1805.420 ,0.462 ,120.953 ,40.519 
2018,Guangdong,4279.360 ,2151.040 ,1787.390 ,0.420 ,120.080 ,41.050 
2019,Guangdong,4357.378 ,2160.640 ,1793.670 ,0.420 ,120.150 ,41.510 
2020,Guangdong,4451.810 ,2204.690 ,1834.430 ,0.380 ,123.140 ,41.870 
2021,Guangdong,4498.359 ,2213.036 ,1827.420 ,0.249 ,129.788 ,42.865 
2022,Guangdong,4553.470 ,2230.289 ,1835.897 ,0.423 ,131.907 ,44.397 
1997,Guangxi,6203.000 ,3738.500 ,2434.300 ,31.900 ,561.100 ,344.500 
1998,Guangxi,6293.400 ,3757.700 ,2433.500 ,25.500 ,578.700 ,349.000 
1999,Guangxi,6289.400 ,3725.480 ,2388.670 ,19.750 ,593.980 ,351.710 
2000,Guangxi,6260.700 ,3655.900 ,2301.600 ,19.500 ,610.700 ,359.200 
2001,Guangxi,6288.060 ,3641.900 ,2423.600 ,14.700 ,556.900 ,318.900 
2002,Guangxi,6299.900 ,3556.900 ,2412.600 ,12.800 ,520.300 ,304.300 
2003,Guangxi,6279.070 ,3470.000 ,2356.300 ,12.300 ,531.100 ,287.100 
2004,Guangxi,6368.150 ,3511.200 ,2356.000 ,11.700 ,586.600 ,283.400 
2005,Guangxi,6489.240 ,3496.200 ,2360.400 ,10.700 ,575.700 ,280.300 
2006,Guangxi,6460.206 ,3331.100 ,2285.000 ,11.800 ,515.000 ,266.810 
2007,Guangxi,5594.404 ,2983.992 ,2126.677 ,3.880 ,490.442 ,145.830 
2008,Guangxi,5695.582 ,2973.052 ,2119.200 ,3.700 ,489.700 ,144.819 
2009,Guangxi,5826.500 ,3067.500 ,2125.000 ,4.000 ,534.600 ,158.600 
2010,Guangxi,5896.856 ,3061.060 ,2094.430 ,4.200 ,538.610 ,168.600 
2011,Guangxi,5996.484 ,3072.807 ,2078.530 ,1.480 ,565.880 ,168.780 
2012,Guangxi,6082.611 ,3069.100 ,2057.600 ,1.500 ,580.500 ,154.500 
2013,Guangxi,6137.161 ,3076.020 ,2046.620 ,1.790 ,587.600 ,154.790 
2014,Guangxi,5929.941 ,3067.680 ,2026.240 ,1.430 ,584.000 ,162.760 
2015,Guangxi,6134.705 ,3059.340 ,1983.900 ,5.090 ,622.600 ,152.660 
2016,Guangxi,6145.305 ,3023.610 ,1959.820 ,6.350 ,609.340 ,154.720 
2017,Guangxi,5969.877 ,2853.056 ,1801.710 ,3.082 ,591.228 ,149.350 
2018,Guangxi,5972.376 ,2802.120 ,1752.550 ,3.000 ,584.430 ,155.400 
2019,Guangxi,5989.205 ,2747.000 ,1712.910 ,3.030 ,580.140 ,149.760 
2020,Guangxi,6107.322 ,2806.093 ,1760.114 ,3.864 ,596.973 ,160.872 
2021,Guangxi,6177.520 ,2822.942 ,1756.735 ,3.814 ,615.045 ,164.022 
2022,Guangxi,6271.395 ,2829.310 ,1758.030 ,4.440 ,616.330 ,167.940 
1997,Hainan,914.500 ,577.200 ,391.400 ,,17.500 ,17.000 
1998,Hainan,937.600 ,571.200 ,388.500 ,,18.600 ,17.500 
1999,Hainan,931.800 ,567.700 ,391.140 ,,18.010 ,17.130 
2000,Hainan,906.000 ,542.030 ,367.450 ,,17.980 ,17.210 
2001,Hainan,871.730 ,519.930 ,354.630 ,,16.710 ,16.510 
2002,Hainan,863.300 ,508.100 ,344.500 ,16.100 ,16.100 ,16.500 
2003,Hainan,906.743 ,541.763 ,343.120 ,,19.890 ,15.540 
2004,Hainan,826.938 ,471.768 ,334.740 ,,13.710 ,13.680 
