i,c,t,production_10k_tons
Shanxi,wheat,2005,202.28
Sichuan,maize,2005,580.8
Sichuan,rice,2005,1505.7
Sichuan,soybean,2005,131.5
Sichuan,wheat,2005,427.4
Tianjin,maize,2005,73.16
Tianjin,rice,2005,12.18
Tianjin,soybean,2005,3.87
Tianjin,wheat,2005,47.42
Tibet,maize,2005,1.65
Tibet,rice,2005,0.55
Tibet,soybean,2005,3.24
Tibet,wheat,2005,25.55
Xinjiang,maize,2005,376.72
Xinjiang,rice,2005,53.79
Xinjiang,soybean,2005,25.43
Xinjiang,wheat,2005,396.23
Yunnan,maize,2005,449.31
Yunnan,rice,2005,646.34
Yunnan,soybean,2005,77.18
Yunnan,wheat,2005,106.86
Zhejiang,maize,2005,25.93
Zhejiang,rice,2005,644.78
Zhejiang,soybean,2005,47.4
Zhejiang,wheat,2005,21.81
Anhui,maize,2006,267.7
Anhui,rice,2006,1333.06
Anhui,soybean,2006,135.0
Anhui,wheat,2006,1039.0
Beijing,maize,2006,72.91
Beijing,rice,2006,0.43
Beijing,soybean,2006,2.68
Beijing,wheat,2006,30.01
Chongqing,maize,2006,200.5
Chongqing,rice,2006,344.9
Chongqing,soybean,2006,29.24
Chongqing,wheat,2006,47.6
Fujian,maize,2006,11.1
Fujian,rice,2006,499.0
Fujian,soybean,2006,15.22
Fujian,wheat,2006,1.6
Gansu,maize,2006,218.6
Gansu,rice,2006,4.02
Gansu,soybean,2006,39.46
Gansu,wheat,2006,260.7
Guangdong,maize,2006,53.67
Guangdong,rice,2006,1015.9
Guangdong,soybean,2006,19.36
Guangdong,wheat,2006,0.3
Guangxi,maize,2006,198.5
Guangxi,rice,2006,1150.13
Guangxi,soybean,2006,22.28
Guangxi,wheat,2006,0.61
Guizhou,maize,2006,336.71
Guizhou,rice,2006,424.15
Guizhou,soybean,2006,33.96
Guizhou,wheat,2006,45.13
Hainan,maize,2006,6.1
Hainan,rice,2006,134.2
Hainan,soybean,2006,0.4
Hainan,wheat,2006,0.0
Hebei,maize,2006,1348.8
Hebei,rice,2006,51.2
Hebei,soybean,2006,46.88
Hebei,wheat,2006,1189.7
Heilongjiang,maize,2006,1517.0
Heilongjiang,rice,2006,1360.0
Heilongjiang,soybean,2006,689.26
Heilongjiang,wheat,2006,93.0
Henan,maize,2006,1541.8
Henan,rice,2006,404.6
Henan,soybean,2006,76.43
Henan,wheat,2006,2936.5
Hubei,maize,2006,203.8
Hubei,rice,2006,1437.9
Hubei,soybean,2006,47.11
Hubei,wheat,2006,311.1
Hunan,maize,2006,100.2
Hunan,rice,2006,2414.5
Hunan,soybean,2006,30.8
Hunan,wheat,2006,2.9
Inner_Mongolia,maize,2006,1130.0
Inner_Mongolia,rice,2006,51.8
Inner_Mongolia,soybean,2006,168.94
Inner_Mongolia,wheat,2006,172.2
Jiangsu,maize,2006,196.97
Jiangsu,rice,2006,1778.02
Jiangsu,soybean,2006,83.04
Jiangsu,wheat,2006,901.62
Jiangxi,maize,2006,6.09
Jiangxi,rice,2006,1808.8
Jiangxi,soybean,2006,25.88
Jiangxi,wheat,2006,2.04
Jilin,maize,2006,2037.1
Jilin,rice,2006,487.3
Jilin,soybean,2006,105.0
Jilin,wheat,2006,0.3
Liaoning,maize,2006,1211.51
Liaoning,rice,2006,426.6
Liaoning,soybean,2006,40.14
Liaoning,wheat,2006,3.1
Ningxia,maize,2006,127.1
Ningxia,rice,2006,76.6
Ningxia,soybean,2006,2.24
Ningxia,wheat,2006,83.3
Qinghai,maize,2006,1.4
Qinghai,rice,2006,0.0
Qinghai,soybean,2006,10.2
Qinghai,wheat,2006,59.4
Shaanxi,maize,2006,456.13
Shaanxi,rice,2006,71.2
Shaanxi,soybean,2006,40.81
Shaanxi,wheat,2006,390.09
Shandong,maize,2006,1749.32
Shandong,rice,2006,104.96
Shandong,soybean,2006,46.07
Shandong,wheat,2006,2012.96
Shanghai,maize,2006,2.68
Shanghai,rice,2006,89.7
Shanghai,soybean,2006,3.1
Shanghai,wheat,2006,11.34
Shanxi,maize,2006,666.0
Shanxi,rice,2006,0.7
Shanxi,soybean,2006,39.68
Shanxi,wheat,2006,227.1
Sichuan,maize,2006,553.1
Sichuan,rice,2006,1336.7
Sichuan,soybean,2006,99.3
Sichuan,wheat,2006,443.6
Tianjin,maize,2006,79.7
Tianjin,rice,2006,10.3
Tianjin,soybean,2006,1.65
Tianjin,wheat,2006,49.9
Tibet,maize,2006,1.7
Tibet,rice,2006,0.59
Tibet,soybean,2006,3.16
Tibet,wheat,2006,26.53
Xinjiang,maize,2006,376.72
Xinjiang,rice,2006,59.27
Xinjiang,soybean,2006,25.01
Xinjiang,wheat,2006,396.23
Yunnan,maize,2006,478.0
Yunnan,rice,2006,612.9
Yunnan,soybean,2006,93.83
Yunnan,wheat,2006,93.0
Zhejiang,maize,2006,9.39
Zhejiang,rice,2006,682.4
Zhejiang,soybean,2006,27.6
Zhejiang,wheat,2006,15.73
Anhui,maize,2007,258.06
Anhui,rice,2007,1356.89
Anhui,soybean,2007,117.59
Anhui,wheat,2007,1179.78
Beijing,maize,2007,76.54
Beijing,rice,2007,0.32
Beijing,soybean,2007,1.58
Beijing,wheat,2007,20.39
Chongqing,maize,2007,232.38
Chongqing,rice,2007,485.13
Chongqing,soybean,2007,33.79
Chongqing,wheat,2007,52.9
Fujian,maize,2007,11.04
Fujian,rice,2007,491.15
Fujian,soybean,2007,14.02
Fujian,wheat,2007,1.19
Gansu,maize,2007,244.02
Gansu,rice,2007,3.36
Gansu,soybean,2007,34.14
Gansu,wheat,2007,237.78
Guangdong,maize,2007,56.96
Guangdong,rice,2007,1041.38
Guangdong,soybean,2007,16.39
Guangdong,wheat,2007,0.3
Guangxi,maize,2007,203.94
Guangxi,rice,2007,1105.33
Guangxi,soybean,2007,22.34
Guangxi,wheat,2007,0.56
Guizhou,maize,2007,343.38
Guizhou,rice,2007,317.56
Guizhou,soybean,2007,59.19
Guizhou,wheat,2007,67.95
Hainan,maize,2007,6.98
Hainan,rice,2007,135.64
Hainan,soybean,2007,0.43
Hainan,wheat,2007,0.0
Hebei,maize,2007,1478.2
Hebei,rice,2007,56.96
Hebei,soybean,2007,40.56
Hebei,wheat,2007,1197.56
Heilongjiang,maize,2007,1590.13
Heilongjiang,rice,2007,1655.05
Heilongjiang,soybean,2007,483.72
Heilongjiang,wheat,2007,68.69
Henan,maize,2007,1620.02
Henan,rice,2007,433.53
Henan,soybean,2007,89.94
Henan,wheat,2007,2958.31
Hubei,maize,2007,208.94
Hubei,rice,2007,1437.49
Hubei,soybean,2007,44.58
Hubei,wheat,2007,354.23
Hunan,maize,2007,116.94
Hunan,rice,2007,2435.27
Hunan,soybean,2007,33.84
Hunan,wheat,2007,3.26
Inner_Mongolia,maize,2007,1175.19
Inner_Mongolia,rice,2007,75.73
Inner_Mongolia,soybean,2007,110.35
Inner_Mongolia,wheat,2007,171.08
Jiangsu,maize,2007,198.21
Jiangsu,rice,2007,1755.38
Jiangsu,soybean,2007,79.06
Jiangsu,wheat,2007,973.9
Jiangxi,maize,2007,5.35
Jiangxi,rice,2007,1841.19
Jiangxi,soybean,2007,24.44
Jiangxi,wheat,2007,1.94
Jilin,maize,2007,1779.98
Jilin,rice,2007,501.24
Jilin,soybean,2007,93.4
Jilin,wheat,2007,1.61
Liaoning,maize,2007,1192.7
Liaoning,rice,2007,496.68
Liaoning,soybean,2007,33.99
Liaoning,wheat,2007,4.96
Ningxia,maize,2007,146.6
Ningxia,rice,2007,60.5
Ningxia,soybean,2007,2.47
Ningxia,wheat,2007,61.6
Qinghai,maize,2007,0.7
Qinghai,rice,2007,0.0
Qinghai,soybean,2007,10.04
Qinghai,wheat,2007,39.54
Shaanxi,maize,2007,501.57
Shaanxi,rice,2007,72.03
Shaanxi,soybean,2007,47.75
Shaanxi,wheat,2007,355.57
Shandong,maize,2007,1767.37
Shandong,rice,2007,110.24
Shandong,soybean,2007,42.22
Shandong,wheat,2007,2007.62
Shanghai,maize,2007,2.57
Shanghai,rice,2007,90.66
Shanghai,soybean,2007,2.17
Shanghai,wheat,2007,15.42
Shanxi,maize,2007,649.1
Shanxi,rice,2007,0.62
Shanxi,soybean,2007,38.57
Shanxi,wheat,2007,216.3
Sichuan,maize,2007,651.23
Sichuan,rice,2007,1411.63
Sichuan,soybean,2007,103.4
Sichuan,wheat,2007,432.53
Tianjin,maize,2007,85.12
Tianjin,rice,2007,10.41
Tianjin,soybean,2007,1.13
Tianjin,wheat,2007,50.42
Tibet,maize,2007,1.66
Tibet,rice,2007,0.55
Tibet,soybean,2007,3.19
Tibet,wheat,2007,26.48
Xinjiang,maize,2007,388.38
Xinjiang,rice,2007,59.81
Xinjiang,soybean,2007,18.74
Xinjiang,wheat,2007,338.3
Yunnan,maize,2007,509.33
Yunnan,rice,2007,577.6
Yunnan,soybean,2007,78.73
Yunnan,wheat,2007,90.39
Zhejiang,maize,2007,9.67
Zhejiang,rice,2007,618.76
Zhejiang,soybean,2007,27.34
Zhejiang,wheat,2007,18.58
Anhui,maize,2008,297.25
Anhui,rice,2008,1406.93
Anhui,soybean,2008,121.86
Anhui,wheat,2008,1259.17
Beijing,maize,2008,87.97
Beijing,rice,2008,0.3
Beijing,soybean,2008,2.06
Beijing,wheat,2008,32.74
Chongqing,maize,2008,243.0
Chongqing,rice,2008,517.26
Chongqing,soybean,2008,34.72
Chongqing,wheat,2008,46.23
Fujian,maize,2008,11.87
Fujian,rice,2008,489.01
Fujian,soybean,2008,14.4
Fujian,wheat,2008,0.93
Gansu,maize,2008,268.3
Gansu,rice,2008,3.72
Gansu,soybean,2008,34.61
Gansu,wheat,2008,261.96
Guangdong,maize,2008,58.82
Guangdong,rice,2008,994.97
Guangdong,soybean,2008,15.69
Guangdong,wheat,2008,0.24
Guangxi,maize,2008,206.67
Guangxi,rice,2008,1093.36
Guangxi,soybean,2008,22.64
Guangxi,wheat,2008,0.43
Guizhou,maize,2008,355.12
Guizhou,rice,2008,334.1
Guizhou,soybean,2008,60.81
Guizhou,wheat,2008,70.55
Hainan,maize,2008,6.96
Hainan,rice,2008,140.24
Hainan,soybean,2008,1.78
Hainan,wheat,2008,0.0
Hebei,maize,2008,1532.65
Hebei,rice,2008,54.83
Hebei,soybean,2008,41.4
Hebei,wheat,2008,1229.85
Heilongjiang,maize,2008,1915.51
Heilongjiang,rice,2008,1851.45
Heilongjiang,soybean,2008,665.32
Heilongjiang,wheat,2008,89.24
Henan,maize,2008,1692.43
Henan,rice,2008,437.13
Henan,soybean,2008,93.6
Henan,wheat,2008,3036.2
Hubei,maize,2008,235.02
Hubei,rice,2008,1446.52
Hubei,soybean,2008,43.39
Hubei,wheat,2008,331.09
Hunan,maize,2008,129.61
Hunan,rice,2008,2551.28
Hunan,soybean,2008,33.68
Hunan,wheat,2008,3.31
Inner_Mongolia,maize,2008,1442.25
Inner_Mongolia,rice,2008,69.75
Inner_Mongolia,soybean,2008,167.99
Inner_Mongolia,wheat,2008,150.85
Jiangsu,maize,2008,220.38
Jiangsu,rice,2008,1764.02
Jiangsu,soybean,2008,81.8
Jiangsu,wheat,2008,1019.33
Jiangxi,maize,2008,5.89
Jiangxi,rice,2008,1904.5
Jiangxi,soybean,2008,24.37
Jiangxi,wheat,2008,1.83
Jilin,maize,2008,2129.39
Jilin,rice,2008,584.94
Jilin,soybean,2008,108.17
Jilin,wheat,2008,1.94
Liaoning,maize,2008,1240.27
Liaoning,rice,2008,489.07
Liaoning,soybean,2008,46.5
Liaoning,wheat,2008,4.27
Ningxia,maize,2008,149.94
Ningxia,rice,2008,66.38
Ningxia,soybean,2008,3.62
Ningxia,wheat,2008,64.07
Qinghai,maize,2008,1.71
Qinghai,rice,2008,0.0
Qinghai,soybean,2008,9.21
Qinghai,wheat,2008,41.31
Shaanxi,maize,2008,498.73
Shaanxi,rice,2008,80.92
Shaanxi,soybean,2008,53.63
Shaanxi,wheat,2008,383.84
Shandong,maize,2008,1978.51
Shandong,rice,2008,110.6
Shandong,soybean,2008,41.22
Shandong,wheat,2008,2038.84
Shanghai,maize,2008,2.21
Shanghai,rice,2008,94.55
Shanghai,soybean,2008,1.74
Shanghai,wheat,2008,18.9
Shanxi,maize,2008,701.57
Shanxi,rice,2008,0.14
Shanxi,soybean,2008,32.78
Shanxi,wheat,2008,244.22
Sichuan,maize,2008,674.77
Sichuan,rice,2008,1480.1
Sichuan,soybean,2008,101.84
Sichuan,wheat,2008,398.72
Tianjin,maize,2008,84.37
Tianjin,rice,2008,11.4
Tianjin,soybean,2008,1.19
Tianjin,wheat,2008,52.12
Tibet,maize,2008,2.24
Tibet,rice,2008,0.51
Tibet,soybean,2008,2.65
Tibet,wheat,2008,25.76
Xinjiang,maize,2008,510.32
Xinjiang,rice,2008,63.6
Xinjiang,soybean,2008,22.06
Xinjiang,wheat,2008,378.4
Yunnan,maize,2008,517.81
Yunnan,rice,2008,596.27
Yunnan,soybean,2008,108.38
Yunnan,wheat,2008,82.11
Zhejiang,maize,2008,10.41
Zhejiang,rice,2008,623.38
Zhejiang,soybean,2008,28.75
Zhejiang,wheat,2008,21.67
Anhui,maize,2009,335.13
Anhui,rice,2009,1470.94
Anhui,soybean,2009,115.98
Anhui,wheat,2009,1187.75
Beijing,maize,2009,89.76
Beijing,rice,2009,0.24
Beijing,soybean,2009,1.61
Beijing,wheat,2009,31.0
Chongqing,maize,2009,240.32
Chongqing,rice,2009,495.7
Chongqing,soybean,2009,36.69
Chongqing,wheat,2009,37.74
Fujian,maize,2009,11.86
Fujian,rice,2009,485.55
Fujian,soybean,2009,13.75
Fujian,wheat,2009,0.57
Gansu,maize,2009,338.74
Gansu,rice,2009,3.78
Gansu,soybean,2009,30.74
Gansu,wheat,2009,262.36
Guangdong,maize,2009,66.66
Guangdong,rice,2009,1044.0
Guangdong,soybean,2009,14.72
Guangdong,wheat,2009,0.24
Guangxi,maize,2009,224.33
Guangxi,rice,2009,1123.87
Guangxi,soybean,2009,25.01
Guangxi,wheat,2009,0.48
Guizhou,maize,2009,355.75
Guizhou,rice,2009,330.54
Guizhou,soybean,2009,59.51
Guizhou,wheat,2009,72.16
Hainan,maize,2009,7.95
Hainan,rice,2009,140.56
Hainan,soybean,2009,1.86
Hainan,wheat,2009,0.0
Hebei,maize,2009,1579.4
Hebei,rice,2009,56.33
Hebei,soybean,2009,30.05
Hebei,wheat,2009,1241.8
Heilongjiang,maize,2009,2012.6
Heilongjiang,rice,2009,1899.61
Heilongjiang,soybean,2009,640.51
Heilongjiang,wheat,2009,115.81
Henan,maize,2009,1752.91
Henan,rice,2009,441.87
Henan,soybean,2009,89.48
Henan,wheat,2009,3092.2
Hubei,maize,2009,258.16
Hubei,rice,2009,1563.02
Hubei,soybean,2009,43.28
Hubei,wheat,2009,334.55
Hunan,maize,2009,162.67
Hunan,rice,2009,2614.29
Hunan,soybean,2009,35.51
Hunan,wheat,2009,6.71
Inner_Mongolia,maize,2009,1488.28
Inner_Mongolia,rice,2009,65.57
Inner_Mongolia,soybean,2009,152.24
Inner_Mongolia,wheat,2009,188.39
Jiangsu,maize,2009,234.54
Jiangsu,rice,2009,1795.23
Jiangsu,soybean,2009,83.47
Jiangsu,wheat,2009,1037.07
Jiangxi,maize,2009,8.32
Jiangxi,rice,2009,1957.44
Jiangxi,soybean,2009,23.95
Jiangxi,wheat,2009,1.88
Jilin,maize,2009,1804.22
Jilin,rice,2009,510.48
Jilin,soybean,2009,103.88
Jilin,wheat,2009,1.13
Liaoning,maize,2009,1026.06
Liaoning,rice,2009,481.39
Liaoning,soybean,2009,26.47
Liaoning,wheat,2009,3.66
Ningxia,maize,2009,156.38
Ningxia,rice,2009,64.55
Ningxia,soybean,2009,2.71
Ningxia,wheat,2009,73.56
Qinghai,maize,2009,3.95
Qinghai,rice,2009,0.0
Qinghai,soybean,2009,8.41
Qinghai,wheat,2009,38.54
Shaanxi,maize,2009,550.98
Shaanxi,rice,2009,80.15
Shaanxi,soybean,2009,49.79
Shaanxi,wheat,2009,374.14
Shandong,maize,2009,2028.25
Shandong,rice,2009,112.3
Shandong,soybean,2009,41.55
Shandong,wheat,2009,2084.62
Shanghai,maize,2009,2.6
Shanghai,rice,2009,99.95
Shanghai,soybean,2009,2.19
Shanghai,wheat,2009,23.98
Shanxi,maize,2009,682.43
Shanxi,rice,2009,0.52
Shanxi,soybean,2009,19.7
Shanxi,wheat,2009,199.77
Sichuan,maize,2009,701.03
Sichuan,rice,2009,1493.35
Sichuan,soybean,2009,99.02
Sichuan,wheat,2009,366.16
Tianjin,maize,2009,88.87
Tianjin,rice,2009,12.71
Tianjin,soybean,2009,1.59
Tianjin,wheat,2009,53.49
Tibet,maize,2009,2.55
Tibet,rice,2009,0.52
Tibet,soybean,2009,2.43
Tibet,wheat,2009,24.56
Xinjiang,maize,2009,558.74
Xinjiang,rice,2009,65.15
Xinjiang,soybean,2009,22.04
Xinjiang,wheat,2009,610.86
Yunnan,maize,2009,541.86
Yunnan,rice,2009,598.73
Yunnan,soybean,2009,97.93
Yunnan,wheat,2009,90.42
Zhejiang,maize,2009,10.55
Zhejiang,rice,2009,611.35
Zhejiang,soybean,2009,28.52
Zhejiang,wheat,2009,24.0
Anhui,maize,2010,355.01
Anhui,rice,2010,1440.2
Anhui,soybean,2010,107.58
Anhui,wheat,2010,1242.37
Beijing,maize,2010,84.17
Beijing,rice,2010,0.19
Beijing,soybean,2010,1.17
Beijing,wheat,2010,28.39
Chongqing,maize,2010,246.07
Chongqing,rice,2010,499.16
Chongqing,soybean,2010,38.06
Chongqing,wheat,2010,31.24
Fujian,maize,2010,11.56
Fujian,rice,2010,469.18
Fujian,soybean,2010,13.01
Fujian,wheat,2010,0.41
Gansu,maize,2010,415.98
Gansu,rice,2010,3.93
Gansu,soybean,2010,31.41
Gansu,wheat,2010,253.52
Guangdong,maize,2010,61.94
Guangdong,rice,2010,1041.8
Guangdong,soybean,2010,13.93
Guangdong,wheat,2010,0.25
Guangxi,maize,2010,207.63
Guangxi,rice,2010,1092.6
Guangxi,soybean,2010,22.95
Guangxi,wheat,2010,0.42
Guizhou,maize,2010,366.59
Guizhou,rice,2010,326.55
Guizhou,soybean,2010,49.14
Guizhou,wheat,2010,49.09
Hainan,maize,2010,9.08
Hainan,rice,2010,132.02
Hainan,soybean,2010,2.17
Hainan,wheat,2010,0.0
Hebei,maize,2010,1663.79
Hebei,rice,2010,52.82
Hebei,soybean,2010,27.52
Hebei,wheat,2010,1246.6
Heilongjiang,maize,2010,2513.71
Heilongjiang,rice,2010,2277.47
Heilongjiang,soybean,2010,631.26
Heilongjiang,wheat,2010,91.96
Henan,maize,2010,1795.31
Henan,rice,2010,458.51
Henan,soybean,2010,88.93
Henan,wheat,2010,3121.0
Hubei,maize,2010,281.23
Hubei,rice,2010,1530.99
Hubei,soybean,2010,42.5
Hubei,wheat,2010,347.05
Hunan,maize,2010,172.69
Hunan,rice,2010,2551.77
Hunan,soybean,2010,36.57
Hunan,wheat,2010,10.55
Inner_Mongolia,maize,2010,1643.66
Inner_Mongolia,rice,2010,67.41
Inner_Mongolia,soybean,2010,173.51
Inner_Mongolia,wheat,2010,174.28
Jiangsu,maize,2010,237.9
Jiangsu,rice,2010,1800.33
Jiangsu,soybean,2010,81.66
Jiangsu,wheat,2010,1059.7
Jiangxi,maize,2010,8.87
Jiangxi,rice,2010,1920.8
Jiangxi,soybean,2010,22.52
Jiangxi,wheat,2010,1.99
Jilin,maize,2010,1994.67
Jilin,rice,2010,574.14
Jilin,soybean,2010,109.99
Jilin,wheat,2010,1.46
Liaoning,maize,2010,1251.85
Liaoning,rice,2010,428.17
Liaoning,soybean,2010,28.68
Liaoning,wheat,2010,2.8
Ningxia,maize,2010,165.8
Ningxia,rice,2010,69.99
Ningxia,soybean,2010,2.7
Ningxia,wheat,2010,70.33
Qinghai,maize,2010,9.58
Qinghai,rice,2010,0.0
Qinghai,soybean,2010,6.11
Qinghai,wheat,2010,36.77
Shaanxi,maize,2010,566.02
Shaanxi,rice,2010,76.81
Shaanxi,soybean,2010,48.94
Shaanxi,wheat,2010,393.55
Shandong,maize,2010,2072.34
Shandong,rice,2010,106.71
Shandong,soybean,2010,39.67
Shandong,wheat,2010,2108.79
Shanghai,maize,2010,3.28
Shanghai,rice,2010,100.33
Shanghai,soybean,2010,1.94
Shanghai,wheat,2010,20.55
Shanxi,maize,2010,809.45
Shanxi,rice,2010,0.48
Shanxi,soybean,2010,21.46
Shanxi,wheat,2010,216.89
Sichuan,maize,2010,750.7
Sichuan,rice,2010,1484.08
Sichuan,soybean,2010,97.96
Sichuan,wheat,2010,355.91
Tianjin,maize,2010,92.93
Tianjin,rice,2010,12.7
Tianjin,soybean,2010,1.75
Tianjin,wheat,2010,52.62
Tibet,maize,2010,2.76
Tibet,rice,2010,0.59
Tibet,soybean,2010,2.35
Tibet,wheat,2010,24.28
Xinjiang,maize,2010,647.97
Xinjiang,rice,2010,61.89
Xinjiang,soybean,2010,25.16
Xinjiang,wheat,2010,596.11
Yunnan,maize,2010,622.01
Yunnan,rice,2010,563.5
Yunnan,soybean,2010,74.27
Yunnan,wheat,2010,44.69
Zhejiang,maize,2010,10.65
Zhejiang,rice,2010,577.45
Zhejiang,soybean,2010,26.99
Zhejiang,wheat,2010,25.77
Anhui,maize,2011,421.98
Anhui,rice,2011,1450.68
Anhui,soybean,2011,97.85
Anhui,wheat,2011,1294.5
Beijing,maize,2011,90.34
Beijing,rice,2011,0.15
Beijing,soybean,2011,1.17
Beijing,wheat,2011,28.39
Chongqing,maize,2011,250.36
Chongqing,rice,2011,475.36
Chongqing,soybean,2011,38.61
Chongqing,wheat,2011,27.27
Fujian,maize,2011,11.8
Fujian,rice,2011,465.58
Fujian,soybean,2011,12.68
Fujian,wheat,2011,0.26
Gansu,maize,2011,448.33
Gansu,rice,2011,3.5
Gansu,soybean,2011,29.86
Gansu,wheat,2011,251.5
Guangdong,maize,2011,65.3
Guangdong,rice,2011,1072.65
Guangdong,soybean,2011,12.93
Guangdong,wheat,2011,0.3
Guangxi,maize,2011,243.15
Guangxi,rice,2011,1049.59
Guangxi,soybean,2011,27.79
Guangxi,wheat,2011,0.14
Guizhou,maize,2011,258.4
Guizhou,rice,2011,322.25
Guizhou,soybean,2011,38.32
Guizhou,wheat,2011,53.42
Hainan,maize,2011,10.3
Hainan,rice,2011,136.66
Hainan,soybean,2011,2.33
Hainan,wheat,2011,0.0
Hebei,maize,2011,1823.04
Hebei,rice,2011,58.23
Hebei,soybean,2011,28.12
Hebei,wheat,2011,1296.86
Heilongjiang,maize,2011,2927.62
Heilongjiang,rice,2011,2438.4
Heilongjiang,soybean,2011,634.52
Heilongjiang,wheat,2011,103.05
Henan,maize,2011,1907.22
Henan,rice,2011,458.59
Henan,soybean,2011,89.73
Henan,wheat,2011,3144.9
Hubei,maize,2011,303.19
Hubei,rice,2011,1614.51
Hubei,soybean,2011,37.91
Hubei,wheat,2011,349.78
Hunan,maize,2011,193.9
Hunan,rice,2011,2634.2
Hunan,soybean,2011,36.87
Hunan,wheat,2011,11.05
Inner_Mongolia,maize,2011,1858.46
Inner_Mongolia,rice,2011,69.02
Inner_Mongolia,soybean,2011,162.35
Inner_Mongolia,wheat,2011,171.88
Jiangsu,maize,2011,244.67
Jiangsu,rice,2011,1846.84
Jiangsu,soybean,2011,79.47
Jiangsu,wheat,2011,1087.77
Jiangxi,maize,2011,9.87
Jiangxi,rice,2011,2026.05
